province,idn,year,neopatrimonialism
Buenos_Aires,1,1983,NA
Buenos_Aires,1,1984,1.995723
Buenos_Aires,1,1985,1.994218
Buenos_Aires,1,1986,1.904347
Buenos_Aires,1,1987,1.870853
Buenos_Aires,1,1988,1.927701
Buenos_Aires,1,1989,1.965677
Buenos_Aires,1,1990,1.900181
Buenos_Aires,1,1991,1.837059
Buenos_Aires,1,1992,1.894226
Buenos_Aires,1,1993,1.942468
Buenos_Aires,1,1994,1.991886
Buenos_Aires,1,1995,1.903617
Buenos_Aires,1,1996,1.960559
Buenos_Aires,1,1997,1.888292
Buenos_Aires,1,1998,1.936352
Buenos_Aires,1,1999,1.969533
Buenos_Aires,1,2000,2.013559
Buenos_Aires,1,2001,2.091728
Buenos_Aires,1,2002,2.156496
Buenos_Aires,1,2003,1.807161
Buenos_Aires,1,2004,1.78676
Buenos_Aires,1,2005,1.838154
Buenos_Aires,1,2006,1.894005
Buenos_Aires,1,2007,1.967007
Buenos_Aires,1,2008,2.00952
Buenos_Aires,1,2009,NA
Capital_Federal,2,1983,NA
Capital_Federal,2,1984,NA
Capital_Federal,2,1985,NA
Capital_Federal,2,1986,NA
Capital_Federal,2,1987,NA
Capital_Federal,2,1988,NA
Capital_Federal,2,1989,NA
Capital_Federal,2,1990,NA
Capital_Federal,2,1991,NA
Capital_Federal,2,1992,NA
Capital_Federal,2,1993,NA
Capital_Federal,2,1994,NA
Capital_Federal,2,1995,NA
Capital_Federal,2,1996,NA
Capital_Federal,2,1997,NA
Capital_Federal,2,1998,NA
Capital_Federal,2,1999,NA
Capital_Federal,2,2000,NA
Capital_Federal,2,2001,NA
Capital_Federal,2,2002,NA
Capital_Federal,2,2003,NA
Capital_Federal,2,2004,NA
Capital_Federal,2,2005,NA
Capital_Federal,2,2006,NA
Capital_Federal,2,2007,NA
Capital_Federal,2,2008,NA
Capital_Federal,2,2009,NA
Catamarca,3,1983,NA
Catamarca,3,1984,1.42547
Catamarca,3,1985,1.014386
Catamarca,3,1986,1.153909
Catamarca,3,1987,1.290688
Catamarca,3,1988,1.205475
Catamarca,3,1989,1.271266
Catamarca,3,1990,1.32903
Catamarca,3,1991,0.7719131
Catamarca,3,1992,0.7971857
Catamarca,3,1993,0.8468789
Catamarca,3,1994,0.9932004
Catamarca,3,1995,1.175538
Catamarca,3,1996,1.307128
Catamarca,3,1997,1.431904
Catamarca,3,1998,1.517136
Catamarca,3,1999,1.576634
Catamarca,3,2000,1.636785
Catamarca,3,2001,1.542432
Catamarca,3,2002,1.625117
Catamarca,3,2003,1.707201
Catamarca,3,2004,1.655504
Catamarca,3,2005,1.779633
Catamarca,3,2006,1.803485
Catamarca,3,2007,1.809657
Catamarca,3,2008,1.575396
Catamarca,3,2009,NA
Chaco,4,1983,NA
Chaco,4,1984,1.813122
Chaco,4,1985,1.801035
Chaco,4,1986,1.71585
Chaco,4,1987,1.515905
Chaco,4,1988,1.604579
Chaco,4,1989,1.639882
Chaco,4,1990,1.749641
Chaco,4,1991,1.830712
Chaco,4,1992,1.869989
Chaco,4,1993,1.412851
Chaco,4,1994,1.496635
Chaco,4,1995,1.549078
Chaco,4,1996,1.611419
Chaco,4,1997,1.700495
Chaco,4,1998,1.758082
Chaco,4,1999,1.623541
Chaco,4,2000,1.694974
Chaco,4,2001,1.781549
Chaco,4,2002,1.855663
Chaco,4,2003,1.912477
Chaco,4,2004,1.943005
Chaco,4,2005,1.986593
Chaco,4,2006,2.013272
Chaco,4,2007,2.118261
Chaco,4,2008,2.040715
Chaco,4,2009,NA
Chubut,5,1983,NA
Chubut,5,1984,1.822719
Chubut,5,1985,1.811007
Chubut,5,1986,1.824911
Chubut,5,1987,1.85529
Chubut,5,1988,1.222923
Chubut,5,1989,1.085506
Chubut,5,1990,1.056785
Chubut,5,1991,1.258576
Chubut,5,1992,1.392876
Chubut,5,1993,1.488116
Chubut,5,1994,1.532188
Chubut,5,1995,1.567192
Chubut,5,1996,1.652215
Chubut,5,1997,1.778849
Chubut,5,1998,1.812642
Chubut,5,1999,1.854332
Chubut,5,2000,1.700365
Chubut,5,2001,1.770708
Chubut,5,2002,1.736351
Chubut,5,2003,1.616157
Chubut,5,2004,1.676857
Chubut,5,2005,1.721233
Chubut,5,2006,1.674004
Chubut,5,2007,1.734259
Chubut,5,2008,1.75088
Chubut,5,2009,
Córdoba,6,1983,
Córdoba,6,1984,1.924899
Córdoba,6,1985,1.807656
Córdoba,6,1986,1.701995
Córdoba,6,1987,1.691639
Córdoba,6,1988,1.359833
Córdoba,6,1989,1.436397
Córdoba,6,1990,1.290338
Córdoba,6,1991,1.37779
Córdoba,6,1992,1.296196
Córdoba,6,1993,1.338084
Córdoba,6,1994,1.398763
Córdoba,6,1995,1.44009
Córdoba,6,1996,1.469484
Córdoba,6,1997,1.137795
Córdoba,6,1998,1.212895
Córdoba,6,1999,1.310228
Córdoba,6,2000,1.380129
Córdoba,6,2001,1.40953
Córdoba,6,2002,1.517563
Córdoba,6,2003,1.58032
Córdoba,6,2004,1.471189
Córdoba,6,2005,1.529009
Córdoba,6,2006,1.599517
Córdoba,6,2007,1.589153
Córdoba,6,2008,1.642364
Córdoba,6,2009,NA
Corrientes,7,1983,NA
Corrientes,7,1984,NA
Corrientes,7,1985,NA
Corrientes,7,1986,NA
Corrientes,7,1987,NA
Corrientes,7,1988,NA
Corrientes,7,1989,NA
Corrientes,7,1990,NA
Corrientes,7,1991,NA
Corrientes,7,1992,NA
Corrientes,7,1993,NA
Corrientes,7,1994,0.755069
Corrientes,7,1995,0.8643044
Corrientes,7,1996,0.9839339
Corrientes,7,1997,1.082601
Corrientes,7,1998,1.097115
Corrientes,7,1999,1.182298
Corrientes,7,2000,1.011604
Corrientes,7,2001,1.094355
Corrientes,7,2002,1.083332
Corrientes,7,2003,1.114885
Corrientes,7,2004,1.156153
Corrientes,7,2005,1.165553
Corrientes,7,2006,1.228506
Corrientes,7,2007,1.352188
Corrientes,7,2008,1.421928
Corrientes,7,2009,NA
Entre_Ríos,8,1983,NA
Entre_Ríos,8,1984,1.848596
Entre_Ríos,8,1985,1.798023
Entre_Ríos,8,1986,1.760905
Entre_Ríos,8,1987,1.554075
Entre_Ríos,8,1988,1.459844
Entre_Ríos,8,1989,1.472668
Entre_Ríos,8,1990,1.512881
Entre_Ríos,8,1991,1.530983
Entre_Ríos,8,1992,1.604613
Entre_Ríos,8,1993,1.477494
Entre_Ríos,8,1994,1.31189
Entre_Ríos,8,1995,1.407488
Entre_Ríos,8,1996,1.47129
Entre_Ríos,8,1997,1.532725
Entre_Ríos,8,1998,1.603365
Entre_Ríos,8,1999,1.660722
Entre_Ríos,8,2000,1.691687
Entre_Ríos,8,2001,1.366122
Entre_Ríos,8,2002,1.448905
Entre_Ríos,8,2003,1.50021
Entre_Ríos,8,2004,1.631558
Entre_Ríos,8,2005,1.545716
Entre_Ríos,8,2006,1.597357
Entre_Ríos,8,2007,1.642742
Entre_Ríos,8,2008,1.666956
Entre_Ríos,8,2009,NA
Formosa,9,1983,NA
Formosa,9,1984,1.559224
Formosa,9,1985,1.523064
Formosa,9,1986,1.442351
Formosa,9,1987,1.25776
Formosa,9,1988,1.32357
Formosa,9,1989,0.8480874
Formosa,9,1990,0.5806462
Formosa,9,1991,0.7750955
Formosa,9,1992,0.8784187
Formosa,9,1993,0.9724472
Formosa,9,1994,1.065214
Formosa,9,1995,1.149515
Formosa,9,1996,1.238826
Formosa,9,1997,1.321509
Formosa,9,1998,1.385267
Formosa,9,1999,1.445741
Formosa,9,2000,1.511817
Formosa,9,2001,1.176428
Formosa,9,2002,1.260564
Formosa,9,2003,1.32503
Formosa,9,2004,1.419251
Formosa,9,2005,1.438241
Formosa,9,2006,1.492074
Formosa,9,2007,1.524885
Formosa,9,2008,1.654228
Formosa,9,2009,NA
Jujuy,10,1983,NA
Jujuy,10,1984,NA
Jujuy,10,1985,NA
Jujuy,10,1986,NA
Jujuy,10,1987,NA
Jujuy,10,1988,NA
Jujuy,10,1989,1.203738
Jujuy,10,1990,1.25742
Jujuy,10,1991,1.465783
Jujuy,10,1992,1.50817
Jujuy,10,1993,1.520337
Jujuy,10,1994,1.270192
Jujuy,10,1995,1.192746
Jujuy,10,1996,1.278335
Jujuy,10,1997,1.156797
Jujuy,10,1998,1.09192
Jujuy,10,1999,1.145078
Jujuy,10,2000,1.173684
Jujuy,10,2001,1.206919
Jujuy,10,2002,1.218345
Jujuy,10,2003,1.223104
Jujuy,10,2004,1.230375
Jujuy,10,2005,0.9338204
Jujuy,10,2006,0.8392529
Jujuy,10,2007,0.8310032
Jujuy,10,2008,0.7616211
Jujuy,10,2009,NA
La_Pampa,11,1983,NA
La_Pampa,11,1984,1.769462
La_Pampa,11,1985,1.728509
La_Pampa,11,1986,1.706252
La_Pampa,11,1987,1.582111
La_Pampa,11,1988,1.590464
La_Pampa,11,1989,1.623175
La_Pampa,11,1990,1.695417
La_Pampa,11,1991,1.745443
La_Pampa,11,1992,0.8528079
La_Pampa,11,1993,0.931596
La_Pampa,11,1994,1.046833
La_Pampa,11,1995,1.176231
La_Pampa,11,1996,1.269439
La_Pampa,11,1997,1.333204
La_Pampa,11,1998,1.403722
La_Pampa,11,1999,1.477187
La_Pampa,11,2000,1.553262
La_Pampa,11,2001,1.432638
La_Pampa,11,2002,1.507689
La_Pampa,11,2003,1.582438
La_Pampa,11,2004,1.657096
La_Pampa,11,2005,1.714967
La_Pampa,11,2006,1.783254
La_Pampa,11,2007,1.841124
La_Pampa,11,2008,1.898994
La_Pampa,11,2009,NA
La_Rioja,12,1983,NA
La_Rioja,12,1984,NA
La_Rioja,12,1985,NA
La_Rioja,12,1986,NA
La_Rioja,12,1987,NA
