state,year,idn,neopatrimonialism
Aguascalientes,1997,1,2.28472
Aguascalientes,1998,1,2.530185
Aguascalientes,1999,1,2.646538
Aguascalientes,2000,1,2.063557
Aguascalientes,2001,1,1.696637
Aguascalientes,2002,1,2.637105
Aguascalientes,2003,1,2.627993
Aguascalientes,2004,1,1.69765
Aguascalientes,2005,1,1.718627
Aguascalientes,2006,1,1.794405
Aguascalientes,2007,1,1.862725
Aguascalientes,2008,1,2.386767
Aguascalientes,2009,1,NA
Baja California,1997,2,1.546977
Baja California,1998,2,1.579071
Baja California,1999,2,1.483586
Baja California,2000,2,1.694895
Baja California,2001,2,1.707563
Baja California,2002,2,1.658674
Baja California,2003,2,2.231695
Baja California,2004,2,2.277985
Baja California,2005,2,2.428603
Baja California,2006,2,2.42969
Baja California,2007,2,2.505018
Baja California,2008,2,2.548205
Baja California,2009,2,
Baja California Sur,1997,3,1.610464
Baja California Sur,1998,3,1.786055
Baja California Sur,1999,3,1.927735
Baja California Sur,2000,3,1.871317
Baja California Sur,2001,3,1.7471
Baja California Sur,2002,3,1.738899
Baja California Sur,2003,3,1.7467
Baja California Sur,2004,3,1.979498
Baja California Sur,2005,3,1.93545
Baja California Sur,2006,3,2.077546
Baja California Sur,2007,3,2.040427
Baja California Sur,2008,3,2.430105
Baja California Sur,2009,3,
Campeche,1997,4,1.697466
Campeche,1998,4,1.816615
Campeche,1999,4,1.54239
Campeche,2000,4,2.532153
Campeche,2001,4,2.446169
Campeche,2002,4,2.726638
Campeche,2003,4,2.928095
Campeche,2004,4,2.919108
Campeche,2005,4,2.921264
Campeche,2006,4,2.8056
Campeche,2007,4,
Campeche,2008,4,3.190155
Campeche,2009,4,
Coahuila,1997,5,1.337915
Coahuila,1998,5,1.399011
Coahuila,1999,5,1.448742
Coahuila,2000,5,1.466848
Coahuila,2001,5,1.608965
Coahuila,2002,5,2.589926
Coahuila,2003,5,2.589988
Coahuila,2004,5,2.253702
Coahuila,2005,5,2.348106
Coahuila,2006,5,2.313913
Coahuila,2007,5,2.615083
Coahuila,2008,5,2.629484
Coahuila,2009,5,
Colima,1997,6,
Colima,1998,6,0.786799
Colima,1999,6,0.8803013
Colima,2000,6,0.986051
Colima,2001,6,0.8281924
Colima,2002,6,1.816697
Colima,2003,6,2.750008
Colima,2004,6,2.141395
Colima,2005,6,2.143766
Colima,2006,6,2.240562
Colima,2007,6,2.273527
Colima,2008,6,2.301121
Colima,2009,6,
Chiapas,1997,7,1.412127
Chiapas,1998,7,1.432652
Chiapas,1999,7,1.372206
Chiapas,2000,7,1.418596
Chiapas,2001,7,1.690006
Chiapas,2002,7,2.442249
Chiapas,2003,7,2.536152
Chiapas,2004,7,2.489792
Chiapas,2005,7,2.489588
Chiapas,2006,7,2.530821
Chiapas,2007,7,2.519985
Chiapas,2008,7,2.519387
Chiapas,2009,7,
Chihuahua,1997,8,
Chihuahua,1998,8,1.642087
Chihuahua,1999,8,1.703233
Chihuahua,2000,8,1.716297
Chihuahua,2001,8,1.707961
Chihuahua,2002,8,1.763782
Chihuahua,2003,8,1.768778
Chihuahua,2004,8,2.42033
Chihuahua,2005,8,2.588264
Chihuahua,2006,8,2.573278
Chihuahua,2007,8,2.614508
Chihuahua,2008,8,2.630935
Chihuahua,2009,8,
Distrito Federal,1997,9,
Distrito Federal,1998,9,
Distrito Federal,1999,9,
Distrito Federal,2000,9,
Distrito Federal,2001,9,
Distrito Federal,2002,9,
Distrito Federal,2003,9,
Distrito Federal,2004,9,
Distrito Federal,2005,9,
Distrito Federal,2006,9,
Distrito Federal,2007,9,
Distrito Federal,2008,9,
Distrito Federal,2009,9,
Durango,1997,10,1.343191
Durango,1998,10,1.527043
Durango,1999,10,1.538585
Durango,2000,10,1.397508
Durango,2001,10,2.602566
Durango,2002,10,2.444708
Durango,2003,10,2.494431
Durango,2004,10,2.501444
Durango,2005,10,2.507797
Durango,2006,10,2.506473
Durango,2007,10,2.520881
Durango,2008,10,2.567529
Durango,2009,10,
Guanajuato,1997,11,
Guanajuato,1998,11,
Guanajuato,1999,11,
Guanajuato,2000,11,
Guanajuato,2001,11,2.718775
Guanajuato,2002,11,2.68005
Guanajuato,2003,11,2.684446
Guanajuato,2004,11,2.605601
Guanajuato,2005,11,2.584936
Guanajuato,2006,11,2.589411
Guanajuato,2007,11,2.631857
Guanajuato,2008,11,2.639998
Guanajuato,2009,11,
Guerrero,1997,12,1.261752
Guerrero,1998,12,1.833415
Guerrero,1999,12,1.917917
Guerrero,2000,12,1.881821
Guerrero,2001,12,1.335192
Guerrero,2002,12,2.246495
Guerrero,2003,12,
Guerrero,2004,12,2.409399
Guerrero,2005,12,2.344718
Guerrero,2006,12,2.43081
Guerrero,2007,12,2.488286
Guerrero,2008,12,2.492855
Guerrero,2009,12,
Hidalgo,1997,13,1.351385
Hidalgo,1998,13,1.418223
Hidalgo,1999,13,1.55839
Hidalgo,2000,13,1.487751
Hidalgo,2001,13,1.517532
Hidalgo,2002,13,1.491937
Hidalgo,2003,13,1.458033
Hidalgo,2004,13,1.453609
Hidalgo,2005,13,1.511492
Hidalgo,2006,13,1.770862
Hidalgo,2007,13,2.273371
Hidalgo,2008,13,2.217458
Hidalgo,2009,13,
Jalisco,1997,14,
Jalisco,1998,14,
Jalisco,1999,14,
Jalisco,2000,14,
Jalisco,2001,14,2.591324
Jalisco,2002,14,2.582219
Jalisco,2003,14,2.557201
Jalisco,2004,14,2.001522
Jalisco,2005,14,2.075291
Jalisco,2006,14,2.016283
Jalisco,2007,14,2.050796
Jalisco,2008,14,2.166405
Jalisco,2009,14,
Edo Mexico,1997,15,1.482831
Edo Mexico,1998,15,1.540172
Edo Mexico,1999,15,1.579979
Edo Mexico,2000,15,1.490122
Edo Mexico,2001,15,2.484206
Edo Mexico,2002,15,2.446556
Edo Mexico,2003,15,2.499279
Edo Mexico,2004,15,2.053524
Edo Mexico,2005,15,2.56358
Edo Mexico,2006,15,2.676317
Edo Mexico,2007,15,2.646826
Edo Mexico,2008,15,2.705245
Edo Mexico,2009,15,
Michoacán,1997,16,1.357072
Michoacán,1998,16,1.754811
Michoacán,1999,16,1.462944
Michoacán,2000,16,1.409781
Michoacán,2001,16,2.429384
Michoacán,2002,16,2.414538
Michoacán,2003,16,2.569764
Michoacán,2004,16,2.545678
Michoacán,2005,16,2.556723
Michoacán,2006,16,2.552138
Michoacán,2007,16,2.605247
Michoacán,2008,16,2.682895
Michoacán,2009,16,
Morelos,1997,17,1.803842
Morelos,1998,17,1.603468
Morelos,1999,17,1.595139
Morelos,2000,17,2.056395
Morelos,2001,17,2.285198
Morelos,2002,17,2.777896
Morelos,2003,17,2.730545
Morelos,2004,17,2.633176
Morelos,2005,17,2.749405
Morelos,2006,17,2.859709
Morelos,2007,17,2.872373
Morelos,2008,17,3.006086
Morelos,2009,17,
Nayarit,1997,18,
Nayarit,1998,18,2.136317
Nayarit,1999,18,2.105909
Nayarit,2000,18,2.57578
Nayarit,2001,18,2.655602
Nayarit,2002,18,2.511409
Nayarit,2003,18,2.657105
Nayarit,2004,18,2.662251
Nayarit,2005,18,2.732986
Nayarit,2006,18,2.757691
Nayarit,2007,18,2.583674
Nayarit,2008,18,2.676212
Nayarit,2009,18,
Nvo Leon,1997,19,1.545014
Nvo Leon,1998,19,1.789507
Nvo Leon,1999,19,2.076356
Nvo Leon,2000,19,2.547879
Nvo Leon,2001,19,2.585656
Nvo Leon,2002,19,2.535597
Nvo Leon,2003,19,2.634712
Nvo Leon,2004,19,2.27184
Nvo Leon,2005,19,2.325626
Nvo Leon,2006,19,2.23952
Nvo Leon,2007,19,2.34295
Nvo Leon,2008,19,2.308719
Nvo Leon,2009,19,
Oaxaca,1997,20,
Oaxaca,1998,20,1.259539
Oaxaca,1999,20,1.358771
Oaxaca,2000,20,1.510515
Oaxaca,2001,20,1.211814
Oaxaca,2002,20,1.497871
Oaxaca,2003,20,1.475229
Oaxaca,2004,20,1.736813
Oaxaca,2005,20,1.586791
Oaxaca,2006,20,1.663838
Oaxaca,2007,20,1.926139
Oaxaca,2008,20,2.577884
Oaxaca,2009,20,
Puebla,1997,21,1.535914
Puebla,1998,21,1.560678
Puebla,1999,21,1.635041
Puebla,2000,21,2.050756
Puebla,2001,21,2.254484
Puebla,2002,21,2.535784
Puebla,2003,21,2.149314
Puebla,2004,21,2.310007
Puebla,2005,21,2.332442
Puebla,2006,21,2.335706
Puebla,2007,21,2.309316
Puebla,2008,21,2.326045
Puebla,2009,21,
Queretaro,1997,22,1.598884
Queretaro,1998,22,1.644026
Queretaro,1999,22,1.655955
Queretaro,2000,22,1.40975
Queretaro,2001,22,2.632801
Queretaro,2002,22,2.896565
Queretaro,2003,22,2.808034
Queretaro,2004,22,2.128891
Queretaro,2005,22,2.133937
