province,year,idn,SUR index
Buenos Aires,1983,1,1.169805
Buenos Aires,1984,1,1.169805
Buenos Aires,1985,1,1.31324
Buenos Aires,1986,1,1.31324
Buenos Aires,1987,1,0.8849121
Buenos Aires,1988,1,0.8849121
Buenos Aires,1989,1,0.8251696
Buenos Aires,1990,1,0.8251696
Buenos Aires,1991,1,0.6927817
Buenos Aires,1992,1,0.6927817
Buenos Aires,1993,1,0.6748294
Buenos Aires,1994,1,0.6748294
Buenos Aires,1995,1,0.6797329
Buenos Aires,1996,1,0.6797329
Buenos Aires,1997,1,0.6825535
Buenos Aires,1998,1,0.6825535
Buenos Aires,1999,1,0.7896835
Buenos Aires,2000,1,0.7896835
Buenos Aires,2001,1,0.7731413
Buenos Aires,2002,1,0.7731413
Buenos Aires,2003,1,0.6929206
Buenos Aires,2004,1,0.6929206
Buenos Aires,2005,1,0.7207016
Buenos Aires,2006,1,0.7207016
Buenos Aires,2007,1,0.6212385
Buenos Aires,2008,1,0.6212385
Buenos Aires,2009,1,0.6575006
Capital Federal,1983,2,
Capital Federal,1984,2,
Capital Federal,1985,2,
Capital Federal,1986,2,
Capital Federal,1987,2,
Capital Federal,1988,2,
Capital Federal,1989,2,
Capital Federal,1990,2,
Capital Federal,1991,2,
Capital Federal,1992,2,
Capital Federal,1993,2,
Capital Federal,1994,2,
Capital Federal,1995,2,
Capital Federal,1996,2,
Capital Federal,1997,2,0.733181
Capital Federal,1998,2,0.733181
Capital Federal,1999,2,0.733181
Capital Federal,2000,2,0.8230178
Capital Federal,2001,2,0.8230178
Capital Federal,2002,2,0.8230178
Capital Federal,2003,2,0.9998589
Capital Federal,2004,2,0.9998589
Capital Federal,2005,2,0.8677327
Capital Federal,2006,2,0.8677327
Capital Federal,2007,2,0.7993536
Capital Federal,2008,2,0.7993536
Capital Federal,2009,2,0.8358982
Catamarca,1983,3,1.197807
Catamarca,1984,3,1.197807
Catamarca,1985,3,1.243421
Catamarca,1986,3,1.243421
Catamarca,1987,3,1.170084
Catamarca,1988,3,1.152174
Catamarca,1989,3,1.127594
Catamarca,1990,3,1.127594
Catamarca,1991,3,0.7187586
Catamarca,1992,3,0.7187586
Catamarca,1993,3,0.7429456
Catamarca,1994,3,0.7429456
Catamarca,1995,3,0.6949497
Catamarca,1996,3,0.6949497
Catamarca,1997,3,0.6810523
Catamarca,1998,3,0.6810523
Catamarca,1999,3,0.6863521
Catamarca,2000,3,0.6863521
Catamarca,2001,3,
Catamarca,2002,3,
Catamarca,2003,3,0.7036353
Catamarca,2004,3,0.7036353
Catamarca,2005,3,0.7079095
Catamarca,2006,3,0.7079095
Catamarca,2007,3,0.668773
Catamarca,2008,3,0.668773
Catamarca,2009,3,0.6540089
Chaco,1983,4,1.21839
Chaco,1984,4,1.21839
Chaco,1985,4,1.21839
Chaco,1986,4,1.21839
Chaco,1987,4,1.208301
Chaco,1988,4,1.208301
Chaco,1989,4,1.226782
Chaco,1990,4,1.226782
Chaco,1991,4,1.327868
Chaco,1992,4,1.327868
Chaco,1993,4,1.258377
Chaco,1994,4,1.258377
Chaco,1995,4,1.392318
Chaco,1996,4,1.392318
Chaco,1997,4,1.271598
Chaco,1998,4,1.271598
Chaco,1999,4,1.09569
Chaco,2000,4,1.09569
Chaco,2001,4,1.099381
Chaco,2002,4,1.099381
Chaco,2003,4,1.166832
Chaco,2004,4,1.166832
Chaco,2005,4,1.16793
Chaco,2006,4,1.16793
Chaco,2007,4,1.258748
Chaco,2008,4,1.258748
Chaco,2009,4,1.218891
Chubut,1983,5,1.22537
Chubut,1984,5,1.22537
Chubut,1985,5,1.22537
Chubut,1986,5,1.22537
Chubut,1987,5,1.194078
Chubut,1988,5,1.194078
Chubut,1989,5,1.194078
Chubut,1990,5,1.194078
Chubut,1991,5,1.23261
Chubut,1992,5,1.23261
Chubut,1993,5,1.23261
Chubut,1994,5,1.23261
Chubut,1995,5,1.144028
Chubut,1996,5,1.144028
Chubut,1997,5,1.144028
Chubut,1998,5,1.144028
Chubut,1999,5,1.161112
Chubut,2000,5,1.161112
Chubut,2001,5,1.161112
Chubut,2002,5,1.161112
