state,year,idn,SUR index
Aguascalientes,1997,1,1.116118
Aguascalientes,1998,1,1.12957
Aguascalientes,1999,1,1.12957
Aguascalientes,2000,1,1.12957
Aguascalientes,2001,1,1.340662
Aguascalientes,2002,1,1.340662
Aguascalientes,2003,1,1.340662
Aguascalientes,2004,1,1.03057
Aguascalientes,2005,1,1.03057
Aguascalientes,2006,1,1.03057
Aguascalientes,2007,1,1.097188
Aguascalientes,2008,1,1.097188
Aguascalientes,2009,1,1.097188
Baja California,1997,2,0.6845341
Baja California,1998,2,0.7694638
Baja California,1999,2,0.7694638
Baja California,2000,2,0.7694638
Baja California,2001,2,0.6780106
Baja California,2002,2,0.6780106
Baja California,2003,2,0.6780106
Baja California,2004,2,0.6948256
Baja California,2005,2,0.6948256
Baja California,2006,2,0.6948256
Baja California,2007,2,0.5934587
Baja California,2008,2,0.5934587
Baja California,2009,2,0.5934587
Baja California Sur,1997,3,1.19815
Baja California Sur,1998,3,1.19815
Baja California Sur,1999,3,1.243357
Baja California Sur,2000,3,1.243357
Baja California Sur,2001,3,1.243357
Baja California Sur,2002,3,1.207179
Baja California Sur,2003,3,1.207179
Baja California Sur,2004,3,1.207179
Baja California Sur,2005,3,1
Baja California Sur,2006,3,1
Baja California Sur,2007,3,1
Baja California Sur,2008,3,1.37741
Baja California Sur,2009,3,1.37741
Campeche,1997,4,0.5719531
Campeche,1998,4,0.5719531
Campeche,1999,4,0.5719531
Campeche,2000,4,0.5635889
Campeche,2001,4,0.5635889
Campeche,2002,4,0.5635889
Campeche,2003,4,0.8086262
Campeche,2004,4,0.8086262
Campeche,2005,4,0.8086262
Campeche,2006,4,0.8577906
Campeche,2007,4,0.8577906
Campeche,2008,4,0.8577906
Campeche,2009,4,0.6531973
Coahuila,1997,5,0.5627785
Coahuila,1998,5,0.5627785
Coahuila,1999,5,0.5638847
Coahuila,2000,5,0.5638847
Coahuila,2001,5,0.5638847
Coahuila,2002,5,0.5542918
Coahuila,2003,5,0.5542918
Coahuila,2004,5,0.5542918
Coahuila,2005,5,0.5620108
Coahuila,2006,5,0.5620108
Coahuila,2007,5,0.5620108
Coahuila,2008,5,
Coahuila,2009,5,
Colima,1997,6,0.5973912
Colima,1998,6,0.5973912
Colima,1999,6,0.5973912
Colima,2000,6,0.5760444
Colima,2001,6,0.5760444
Colima,2002,6,0.5760444
Colima,2003,6,0.6994702
Colima,2004,6,0.6994702
Colima,2005,6,0.6994702
Colima,2006,6,0.6303235
Colima,2007,6,0.6303235
Colima,2008,6,0.6303235
Colima,2009,6,0.6882828
Chiapas,1997,7,1.08224
Chiapas,1998,7,1.08224
Chiapas,1999,7,1.08224
Chiapas,2000,7,1.089983
Chiapas,2001,7,1.133363
Chiapas,2002,7,1.133363
Chiapas,2003,7,1.133363
Chiapas,2004,7,1.192539
Chiapas,2005,7,1.192539
Chiapas,2006,7,1.626071
Chiapas,2007,7,1.537783
Chiapas,2008,7,1.537783
Chiapas,2009,7,1.537783
Chihuahua,1997,8,1.290526
Chihuahua,1998,8,1.188786
Chihuahua,1999,8,1.188786
Chihuahua,2000,8,1.188786
Chihuahua,2001,8,1.206506
Chihuahua,2002,8,1.206506
Chihuahua,2003,8,1.206506
Chihuahua,2004,8,1.182956
Chihuahua,2005,8,1.182956
Chihuahua,2006,8,1.182956
Chihuahua,2007,8,1.251494
Chihuahua,2008,8,1.251494
Chihuahua,2009,8,1.251494
Distrito Federal,1997,9,
Distrito Federal,1998,9,
